Name,Release Year,Certificate,Duration,Poster,Trailer,Genre,Rating,Rating Count,Country,Director,Writer,Stars,Story,Budget,Gross US & Canada,Opening weekend US & Canada,Gross worldwide,Cost,Income
Prisoners,2013,16+,153.0,https://m.media-amazon.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_.jpg,https://www.imdb.com/video/vi3294275865/,"['Crime', 'Drama', 'Mystery']",8.1,780771,['United States'],['Denis Villeneuve'],['Aaron Guzikowski'],"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis']","When Keller Dover&apos;s daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","$46,000,000 (estimated)","$61,002,302","$20,817,053","$122,126,687","$46,000,000 (estimated)","$122,126,687"
"Crazy, Stupid, Love.",2011,P,118.0,https://m.media-amazon.com/images/M/MV5BMTlkNGNhYzgtNDY1ZC00ZDBmLWE4N2MtY2Q1YWQ3M2JiMDkwXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_.jpg,https://www.imdb.com/video/vi3722091801/,"['Comedy', 'Drama', 'Romance']",7.4,550155,['United States'],"['Glenn Ficarra', 'John Requa']",['Dan Fogelman'],"['Steve Carell', 'Ryan Gosling', 'Julianne Moore']","A middle-aged husband&apos;s life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.","$50,000,000 (estimated)","$84,379,584","$19,104,303","$145,079,584","$50,000,000 (estimated)","$145,079,584"
Twilight,2008,PG-12,122.0,https://m.media-amazon.com/images/M/MV5BMTQ2NzUxMTAxN15BMl5BanBnXkFtZTcwMzEyMTIwMg@@._V1_.jpg,https://www.imdb.com/video/vi861339673/,"['Drama', 'Fantasy', 'Romance']",5.3,479892,['United States'],['Catherine Hardwicke'],"['Melissa Rosenberg', 'Stephenie Meyer']","['Kristen Stewart', 'Robert Pattinson', 'Billy Burke']","When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.","$37,000,000 (estimated)","$193,962,473","$69,637,740","$408,430,415","$37,000,000 (estimated)","$408,430,415"
Drive,2011,R-18,100.0,https://m.media-amazon.com/images/M/MV5BMWEzMzI2MTItMDI1Yi00NzBkLTliMzMtYzllMGY5OWNmMGRkXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_.jpg,https://www.imdb.com/video/vi2772212761/,"['Action', 'Drama']",7.8,688136,['United States'],['Nicolas Winding Refn'],"['Hossein Amini', 'James Sallis']","['Ryan Gosling', 'Carey Mulligan', 'Bryan Cranston']",A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor&apos;s husband rob a pawn shop while serving as his getaway driver.,"$15,000,000 (estimated)","$35,061,555","$11,340,461","$78,714,970","$15,000,000 (estimated)","$78,714,970"
The Girl with the Dragon Tattoo,2011,18+,158.0,https://m.media-amazon.com/images/M/MV5BMTczNDk4NTQ0OV5BMl5BanBnXkFtZTcwNDAxMDgxNw@@._V1_.jpg,https://www.imdb.com/video/vi3830160409/,"['Crime', 'Drama', 'Mystery']",7.8,485343,"['United States', 'Sweden', 'Norway']",['David Fincher'],"['Steven Zaillian', 'Stieg Larsson']","['Daniel Craig', 'Rooney Mara', 'Christopher Plummer']",Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by young computer hacker Lisbeth Salander.,"$90,000,000 (estimated)","$102,515,793","$12,768,604","$232,617,430","$90,000,000 (estimated)","$232,617,430"
The Curious Case of Benjamin Button,2009,6 +,166.0,https://m.media-amazon.com/images/M/MV5BMzI4M2I1MTItYjdiYi00YTZhLTg0NDgtZWIzOGU5ZmM3NWZlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,https://www.imdb.com/video/vi2171469849/,"['Drama', 'Fantasy', 'Romance']",7.8,682697,['United States'],['David Fincher'],"['Eric Roth', 'Robin Swicord', 'F. Scott Fitzgerald']","['Brad Pitt', 'Cate Blanchett', 'Tilda Swinton']","Tells the story of Benjamin Button, a man who starts aging backwards with consequences.","$150,000,000 (estimated)","$127,509,326","$26,853,816","$335,802,786","$150,000,000 (estimated)","$335,802,786"
Lone Survivor,2014,R,121.0,https://m.media-amazon.com/images/M/MV5BMjA0NTgwOTk5Ml5BMl5BanBnXkFtZTcwMjE3NDc5OQ@@._V1_.jpg,https://www.imdb.com/video/vi2949425177/,"['Action', 'Biography', 'Drama']",7.5,301600,"['United States', 'United Kingdom']",['Peter Berg'],"['Peter Berg', 'Marcus Luttrell', 'Patrick Robinson']","['Mark Wahlberg', 'Taylor Kitsch', 'Emile Hirsch']","Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.","$40,000,000 (estimated)","$125,095,601","$90,872","$154,802,912","$40,000,000 (estimated)","$154,802,912"
The Grand Budapest Hotel,2014,12+,99.0,https://m.media-amazon.com/images/M/MV5BMzM5NjUxOTEyMl5BMl5BanBnXkFtZTgwNjEyMDM0MDE@._V1_.jpg,https://www.imdb.com/video/vi1157933593/,"['Adventure', 'Comedy', 'Crime']",8.1,866142,"['United States', 'Germany']",['Wes Anderson'],"['Stefan Zweig', 'Wes Anderson', 'Hugo Guinness']","['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric']","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel&apos;s glorious years under an exceptional concierge.","$25,000,000 (estimated)","$59,301,324","$811,166","$174,563,280","$25,000,000 (estimated)","$174,563,280"
Shame,2012,18+,101.0,https://m.media-amazon.com/images/M/MV5BOGU4Mjc0ZWMtNGQ0OS00ZWQ4LThkNDUtOTE1Y2EzYjgzMDU5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,https://www.imdb.com/video/vi404332057/,['Drama'],7.2,203459,"['United Kingdom', 'Canada', 'United States']",['Steve McQueen'],"['Steve McQueen', 'Abi Morgan']","['Michael Fassbender', 'Carey Mulligan', 'James Badge Dale']",A sex addict&apos;s carefully cultivated private life falls apart after his sister arrives for an indefinite stay.,"$6,500,000 (estimated)","$3,909,002","$361,000","$19,123,767","$6,500,000 (estimated)","$19,123,767"
Jack Reacher,2012,12+,130.0,https://m.media-amazon.com/images/M/MV5BMTM1NjUxMDI3OV5BMl5BanBnXkFtZTcwNjg1ODM3OA@@._V1_.jpg,https://www.imdb.com/video/vi1158194201/,"['Action', 'Mystery', 'Thriller']",7.0,357985,['United States'],['Christopher McQuarrie'],"['Lee Child', 'Christopher McQuarrie']","['Tom Cruise', 'Rosamund Pike', 'Richard Jenkins']",A homicide investigator digs deeper into a case involving a trained military sniper responsible for a mass shooting.,"$60,000,000 (estimated)","$80,070,736","$15,210,156","$218,340,595","$60,000,000 (estimated)","$218,340,595"
Thor,2011,6+,115.0,https://m.media-amazon.com/images/M/MV5BOGE4NzU1YTAtNzA3Mi00ZTA2LTg2YmYtMDJmMThiMjlkYjg2XkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_.jpg,https://www.imdb.com/video/vi1431476761/,"['Action', 'Fantasy']",7.0,886335,['United States'],['Kenneth Branagh'],"['Ashley Miller', 'Zack Stentz', 'Don Payne']","['Chris Hemsworth', 'Anthony Hopkins', 'Natalie Portman']","The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.","$150,000,000 (estimated)","$181,030,624","$65,723,338","$449,326,618","$150,000,000 (estimated)","$449,326,618"
Watchmen,2009,12+,162.0,https://m.media-amazon.com/images/M/MV5BY2IzNGNiODgtOWYzOS00OTI0LTgxZTUtOTA5OTQ5YmI3NGUzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,https://www.imdb.com/video/vi240565017/,"['Action', 'Drama', 'Mystery']",7.6,572789,['United States'],['Zack Snyder'],"['Dave Gibbons', 'David Hayter', 'Alex Tse']","['Jackie Earle Haley', 'Patrick Wilson', 'Carla Gugino']","In a version of 1985 where superheroes exist, the murder of a colleague sends active vigilante Rorschach on the trail of a conspiracy that will change the course of history.","$130,000,000 (estimated)","$107,509,799","$55,214,334","$185,382,813","$130,000,000 (estimated)","$185,382,813"
Srpski film,2010,NC-17,104.0,https://m.media-amazon.com/images/M/MV5BMTU2NzI3OTk4M15BMl5BanBnXkFtZTcwMTEyNzIxNA@@._V1_.jpg,https://www.imdb.com/video/vi4283040793/,"['Horror', 'Mystery', 'Thriller']",5.0,69674,['Serbia'],['Srdjan Spasojevic'],"['Aleksandar Radivojevic', 'Srdjan Spasojevic']","['Srdjan &apos;Zika&apos; Todorovic', 'Sergej Trifunovic', 'Jelena Gavrilovic']","An aging porn star agrees to participate in an &quot;art film&quot; in order to make a clean break from the business, only to discover that he has been drafted into making a pedophilia and necrophilia themed snuff film.",,,,"$1,541",,"$1,541"
Harry Potter and the Deathly Hallows - Part 2,2011,PG-12,130.0,https://m.media-amazon.com/images/M/MV5BMGVmMWNiMDktYjQ0Mi00MWIxLTk0N2UtN2ZlYTdkN2IzNDNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,https://www.imdb.com/video/vi128621593/,"['Adventure', 'Family', 'Fantasy']",8.1,925377,"['United Kingdom', 'United States']",['David Yates'],"['Steve Kloves', 'J.K. Rowling']","['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint']","Harry, Ron, and Hermione search for Voldemort&apos;s remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","$125,000,000 (estimated)","$381,447,587","$169,189,427","$1,342,360,114","$125,000,000 (estimated)","$1,342,360,114"
Tropic Thunder,2008,R,107.0,https://m.media-amazon.com/images/M/MV5BNDE5NjQzMDkzOF5BMl5BanBnXkFtZTcwODI3ODI3MQ@@._V1_.jpg,https://www.imdb.com/video/vi2139141657/,"['Action', 'Comedy', 'War']",7.1,439150,"['United States', 'United Kingdom', 'Germany']",['Ben Stiller'],"['Justin Theroux', 'Ben Stiller', 'Etan Cohen']","['Ben Stiller', 'Jack Black', 'Robert Downey Jr.']","Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.","$92,000,000 (estimated)","$110,515,313","$25,812,796","$195,702,963","$92,000,000 (estimated)","$195,702,963"
The Avengers,2012,6+,143.0,https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,https://www.imdb.com/video/vi1891149081/,"['Action', 'Sci-Fi']",8.0,1440351,['United States'],['Joss Whedon'],"['Joss Whedon', 'Zak Penn']","['Robert Downey Jr.', 'Chris Evans', 'Scarlett Johansson']",Earth&apos;s mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,"$220,000,000 (estimated)","$623,357,910","$207,438,708","$1,520,538,536","$220,000,000 (estimated)","$1,520,538,536"
The Dark Knight Rises,2012,PG-12,164.0,https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_.jpg,https://www.imdb.com/video/vi144884505/,"['Action', 'Drama', 'Thriller']",8.4,1788865,"['United States', 'United Kingdom']",['Christopher Nolan'],"['Jonathan Nolan', 'Christopher Nolan', 'David S. Goyer']","['Christian Bale', 'Tom Hardy', 'Anne Hathaway']","Eight years after the Joker&apos;s reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.","$250,000,000 (estimated)","$448,149,584","$160,887,295","$1,085,067,637","$250,000,000 (estimated)","$1,085,067,637"
The Conjuring,2013,12+,112.0,https://m.media-amazon.com/images/M/MV5BMTM3NjA1NDMyMV5BMl5BanBnXkFtZTcwMDQzNDMzOQ@@._V1_.jpg,https://www.imdb.com/video/vi3819874585/,"['Horror', 'Mystery', 'Thriller']",7.5,543425,['United States'],['James Wan'],"['Chad Hayes', 'Carey W. Hayes']","['Patrick Wilson', 'Vera Farmiga', 'Ron Livingston']",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,"$20,000,000 (estimated)","$137,446,368","$41,855,326","$320,406,242","$20,000,000 (estimated)","$320,406,242"
About Time,2013,6+,110.0,https://m.media-amazon.com/images/M/MV5BMTA1ODUzMDA3NzFeQTJeQWpwZ15BbWU3MDgxMTYxNTk@._V1_.jpg,https://www.imdb.com/video/vi802400281/,"['Comedy', 'Drama', 'Fantasy']",7.8,375449,"['United Kingdom', 'United States']",['Richard Curtis'],['Richard Curtis'],"['Domhnall Gleeson', 'Rachel McAdams', 'Bill Nighy']","At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.","$12,000,000 (estimated)","$15,322,921","$1,076,250","$87,100,449","$12,000,000 (estimated)","$87,100,449"
The Great Gatsby,2013,6+,143.0,https://m.media-amazon.com/images/M/MV5BMTkxNTk1ODcxNl5BMl5BanBnXkFtZTcwMDI1OTMzOQ@@._V1_.jpg,https://www.imdb.com/video/vi2949817881/,"['Drama', 'Romance']",7.2,581492,"['Australia', 'United States']",['Baz Luhrmann'],"['Baz Luhrmann', 'Craig Pearce', 'F. Scott Fitzgerald']","['Leonardo DiCaprio', 'Carey Mulligan', 'Joel Edgerton']","A writer and wall street trader, Nick Carraway, finds himself drawn to the past and lifestyle of his mysterious millionaire neighbor, Jay Gatsby, amid the riotous parties of the Jazz Age.","$105,000,000 (estimated)","$144,857,996","$50,085,185","$353,659,851","$105,000,000 (estimated)","$353,659,851"
Skyfall,2012,6+,143.0,https://m.media-amazon.com/images/M/MV5BMWZiNjE2OWItMTkwNy00ZWQzLWI0NTgtMWE0NjNiYTljN2Q1XkEyXkFqcGdeQXVyNzAwMjYxMzA@._V1_.jpg,https://www.imdb.com/video/vi973841433/,"['Action', 'Adventure', 'Thriller']",7.8,720879,"['United Kingdom', 'United States', 'Turkey']",['Sam Mendes'],"['Neal Purvis', 'Robert Wade', 'John Logan']","['Daniel Craig', 'Javier Bardem', 'Naomie Harris']","James Bond&apos;s loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.","$200,000,000 (estimated)","$304,360,277","$88,364,714","$1,142,471,295","$200,000,000 (estimated)","$1,142,471,295"
We&apos;re the Millers,2013,16+,110.0,https://m.media-amazon.com/images/M/MV5BMWMxMjEwNDktMTY5OC00NmMwLTlhNTItMTU2OWI0YTBjN2IxXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,https://www.imdb.com/video/vi544319001/,"['Comedy', 'Crime']",7.0,477090,"['United States', 'United Kingdom']",['Rawson Marshall Thurber'],"['Bob Fisher', 'Steve Faber', 'Sean Anders']","['Jason Sudeikis', 'Jennifer Aniston', 'Emma Roberts']",A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,"$37,000,000 (estimated)","$150,394,119","$26,419,396","$269,994,119","$37,000,000 (estimated)","$269,994,119"
Year One,2009,PG-13,97.0,https://m.media-amazon.com/images/M/MV5BMDkyMTMyZjYtZTZkYi00ZjE2LTkxYjUtZGVlMDZhN2FmNzAzXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_.jpg,https://www.imdb.com/video/vi2134442777/,['Comedy'],4.9,102240,['United States'],['Harold Ramis'],"['Harold Ramis', 'Gene Stupnitsky', 'Lee Eisenberg']","['Jack Black', 'Michael Cera', 'Olivia Wilde']","After being banished from their tribe, two hunter-gatherers encounter Biblical characters and eventually wind up in the city of Sodom.","$60,000,000 (estimated)","$43,337,279","$19,610,304","$62,357,900","$60,000,000 (estimated)","$62,357,900"
La vie d&apos;Adèle,2014,R-18,180.0,https://m.media-amazon.com/images/M/MV5BMTQ5NTg5ODk4OV5BMl5BanBnXkFtZTgwODc4MTMzMDE@._V1_.jpg,https://www.imdb.com/video/vi3132668697/,"['Drama', 'Romance']",7.7,160312,"['France', 'Belgium', 'Spain']",['Abdellatif Kechiche'],"['Abdellatif Kechiche', 'Ghalya Lacroix', 'Jul Maroh']","['Léa Seydoux', 'Adèle Exarchopoulos', 'Salim Kechiouche']","Adèle&apos;s life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ...","€4,000,000 (estimated)","$2,199,787","$100,316","$19,465,835","€4,000,000 (estimated)","$19,465,835"
Love &amp; Other Drugs,2010,18 +,112.0,https://m.media-amazon.com/images/M/MV5BMTgxOTczODEyMF5BMl5BanBnXkFtZTcwMDc0NDY4Mw@@._V1_.jpg,https://www.imdb.com/video/vi2329347609/,"['Comedy', 'Drama', 'Romance']",6.7,218215,['United States'],['Edward Zwick'],"['Charles Randolph', 'Edward Zwick', 'Marshall Herskovitz']","['Jake Gyllenhaal', 'Anne Hathaway', 'Judy Greer']","In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson&apos;s disease.","$30,000,000 (estimated)","$32,367,005","$9,739,161","$102,820,008","$30,000,000 (estimated)","$102,820,008"
Her,2014,12+,126.0,https://m.media-amazon.com/images/M/MV5BMjA1Nzk0OTM2OF5BMl5BanBnXkFtZTgwNjU2NjEwMDE@._V1_.jpg,https://www.imdb.com/video/vi4112492569/,"['Drama', 'Romance', 'Sci-Fi']",8.0,652830,['United States'],['Spike Jonze'],['Spike Jonze'],"['Joaquin Phoenix', 'Amy Adams', 'Scarlett Johansson']","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.","$23,000,000 (estimated)","$25,568,251","$260,382","$48,517,427","$23,000,000 (estimated)","$48,517,427"
