Name,Release Year,Certificate,Duration,Poster,Trailer,Genre,Rating,Rating Count,Country,Director,Writer,Stars,Storyline,Cost,Income
,,,,"https://m.media-amazon.com/images/M/MV5BNjY5YjIzMzktOWE3NC00ZGNlLWE2MTUtYWI2M2Y3MGRiOTJjXkEyXkFqcGdeQXVyMTYyNjE1NDc4._V1_QL75_UX190_CR0,2,190,281_.jpg",,"Action, Crime, Drama",4.8,321,United States,Henri Charr,"Henri Charr, Jess Mancilla, John B. Pfeifer","Wendi Westbrook, Barbara Niven, Taylor Leigh, Stephanie Ann Smith, Sai Tyler, K. Phillip Anthony, Jon Asher, Trisha Berdot, Tammy Newbold, Rosario, Cinder Zurflush, Mia Leigh, Dot-Marie Jones, Susan Nelmida, Monique Jenkins, Angie Barker, Andrew Lucas, Jeff Cook",A drug lord's prison connections make this a dangerous and deadly assignment for undercover FBI agent Danielle Peters.,,
,2000,,,"https://m.media-amazon.com/images/M/MV5BMTQ5NTMwODU3NF5BMl5BanBnXkFtZTcwMzkxNTAzMQ@@._V1_QL75_UY281_CR15,0,190,281_.jpg",,"Thriller, Drama",4.0,1200,United States,Gill Dennis,"Phil Stanford, Gill Dennis","Scott Plank, Anna Gunn, Andrew Prine, Angelina Jolie, Paul Perri, Kristen Peckinpah, Allen Nause, Chris Mastrandrea, Danny Bruno, Ernie Garrett, Eric Hull, Ed Collier, Geof Prysirr, Michael Russo, Jason Tomlins, W. Earl Brown, Chris Nelson Norris, Ellen Wheeler",The story revolves around a possible conspiracy behind the real life murder of the Oregon's Head of Corrections Michael Francke.,,
,1995,,,"https://m.media-amazon.com/images/M/MV5BMDNkZTY4MjAtMGUyNC00MjMxLWJkZDQtZDZlNmU3OTRiODI0XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_QL75_UX190_CR0,32,190,281_.jpg",,"Documentary, Romance",6.9,66,United States,,,,"Various photogenic couples demostrate the different techniques of making love (from Kama Sutra), while a female voice narrates sporadically. The film is divided into chapters, each dealing with a different aspect of sex or foreplay.",,
,2000,,,"https://m.media-amazon.com/images/M/MV5BMjE1MzY3NDc1NV5BMl5BanBnXkFtZTcwMDI1MDY2Mg@@._V1_QL75_UX190_CR0,17,190,281_.jpg",,Romance,6.0,46,United Kingdom,Mike Esser,Mike Esser,"Vaughan Harris, Michael Jonker, Marcos Carmargo, Storm Killian, Estefan du Prez, Johan Odendaal, Matt Twynam, Damian Pasqual","A soft erotic movie showing scenes of men in love, in the desert, and on the beach.",,
,,,,"https://m.media-amazon.com/images/M/MV5BNzM5NWJhNDgtZjU4Yy00M2FmLTljYmQtNTNkOTIxODM0YmZlXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UY281_CR13,0,190,281_.jpg",,"Comedy, Romance, Thriller",3.5,216,United States,Nelson McCormick,Gianni Russo,"Jack Scalia, Sally Kellerman, Elliott Gould, Casper Van Dien, Jacqueline Collen, Kimberly E. Goltry, Catherine Lazo, Mushond Lee, Ria Pavia, Ernie Reyes Jr., Gianni Russo, Anna Lobell, Luciano Antonio Russo, Marcie Smolin, Dan Romero, Jennifer Cohen, Hannah Sussman, Kevin D. McBride",The lives of college students attending a beachfront university in California become mingled - and mangled - when the deranged former husband of the beautiful former fashion model/pro volleyball player Stacy finds her living on the campus.,,
,1995,,,"https://m.media-amazon.com/images/M/MV5BNTFiNGM0MWYtMzVkMC00NTdkLWJkNmItNmMyOTI1ODUyZDQ5XkEyXkFqcGdeQXVyMTI2OTM0NzQ@._V1_QL75_UY281_CR0,0,190,281_.jpg",,"Biography, Drama, Romance",5.8,276,United States,Graeme Campbell,"Norman Winski, Duane Poole, Tom Swale","Anne Archer, Len Cariou, Neil Patrick Harris, Alex Carter, Deborah Drakeford, Rick Roberts, Martha Cronyn, Toby Proctor, Nahanni Johnstone, Judith Orban, Bruce Vavrina, Richard Liss, James Mainprize, Pixie Bigelow, Tedde Moore, Sam Malkin, Christopher Marren, James Binkley",An older woman hides her younger lover in the attic of her house for years without her husband suspecting. Based on a true story.,,
,1995,,,"https://m.media-amazon.com/images/M/MV5BNTM5NTJjYTQtMzc3My00NzczLWIxNzktZmIyNTMzMThkZDgwXkEyXkFqcGdeQXVyMTI0OTYxNDQ@._V1_QL75_UY281_CR11,0,190,281_.jpg",,"Romance, Drama",7.5,115,Mexico,,,,"Greedy and power hungry Max Hauser (Ash Adams) assumes his step brother's identity and tricks his unsuspecting girlfriend Rachel Swanson(Raquel Gardner) to a civil marriage, in the hope that after Tony's death, he will inherit his vast wealth through Rachel, who the family assume... Read all",,
,1995,,,"https://m.media-amazon.com/images/M/MV5BNjg2OTU1MDM2Ml5BMl5BanBnXkFtZTgwODk2MjU2NzE@._V1_QL75_UY281_CR11,0,190,281_.jpg",,Family,6.9,364,United States,Michael Spence,Jana Lyn Rutledge,"James T. Callahan, Sky Rumph, Emily Newman, Kippy Kroh, Chris Liberto, Chuck Muller, Jan Van Sickle, Nicholas DiNardo, Michael K. Osborn, David Dalton, Ray Blunk, John Nance, Kevin Bartlett, Maggie Donaghy, Mary Beth Rikeman, Norm Silver, Jana Lyn Rutledge, Billie McBride","This film brings to life a famous Norman Rockwell painting. Samuel Cavanaugh, a Scrooge like character, revisits the frozen pond each year to relive the happier moments in his life. Michael Grant is an unhappy young boy attempting to skate with his dad's oversized skates, who was... Read all",,
,,,,"https://m.media-amazon.com/images/M/MV5BMTQyODY0NjExMV5BMl5BanBnXkFtZTcwNzU0MzkzMQ@@._V1_QL75_UY281_CR46,0,190,281_.jpg",,"Drama, Thriller",4.3,230,United States,Edward Holzman,John Nelson,"Bobby Johnston, Beckie Mullen, Mark Zuelke, Griffin Drew, Pía Reyes, Heather Ward, Lorissa McComas, Cal Bartlett, Cory Lane, Venesa Talor, Kristen Elizabeth, Chona Jason, Lucy Gamboa, Sharon Turner, Bianca Rocilili, Kristen Williams, Casey Gray, Kristina Mateyko",,,
,1996,,,"https://m.media-amazon.com/images/M/MV5BMmIyYzJhZjItNzNmZS00Y2RhLThkOWYtYWIyZTUwMjRiZDBkXkEyXkFqcGdeQXVyMTgyMzEyNDY@._V1_QL75_UY281_CR24,0,190,281_.jpg",,"Action, Adventure, Sci-Fi",8.8,815,United States,Chris Roberts,"Terry Borst, Frank De Palma","Mark Hamill, Malcolm McDowell, John Rhys-Davies, Jason Bernard, Tom Wilson, Robert Rusler, Mark Dacascos, Holly Gagnier, François Chau, Chris Mulkey, Elizabeth Barondes, Jeremy Roberts, Richard Riehle, Peter Jason, John Spencer, William Youmans, Christopher Bergschneider, Richard Kaszonyi",It is several years after mankind's war against the Kilrathi. Col. Christopher Blair is called back into duty by the Terran Confederation to help stop acts of terrorism that appear to be taking place against Confed by Border Worlds forces.,,
,,,,"https://m.media-amazon.com/images/M/MV5BNmM0ZTNjMjEtZTk1OC00YjY1LWJmZTQtN2NjOWY4ZjI1MjY5XkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",,,6.1,39,United States,Peter Crane,Peter S. Fischer,"Priscilla Barnes, Don Calfa, Herb Edelman, Peter Falk, Stephen Furst, Arlene Golonka, Dody Goodman, Dwayne Hickman, Rosanna Huffman, Leann Hunley, Marty Ingels, Shirley Jones, Tim Lounibos, Ron Masak, Will Nye, Jonathan Romley, Doug Sheehan, Marcia Strassman",,,
,,,,"https://m.media-amazon.com/images/M/MV5BNWU5MjU5NDUtY2QwMS00YzhhLTkwNDMtYmFiMGVmYTIwNDljXkEyXkFqcGdeQXVyMDk1MzUyNQ@@._V1_QL75_UX190_CR0,3,190,281_.jpg",,"Short, Comedy",6.6,352,France,Thom Eberhardt,Glenda Ganis,"Debra Winger, Marlon Brando, Johnny Depp, John Hurt, Angeline Ball, Gabriel Byrne, Noel Finbarr, Frances Geary, Richard Harris, Darragh McGann, ""Daragh OMalley"", Elaine Symons","An unfinished film about a woman in a remote village, who dies only to rise from her coffin during the funeral. The woman is heralded as a saint, although it turns out she has a rare disorder that slows the heart-rate.",,
,,,,"https://m.media-amazon.com/images/M/MV5BMTBmYjFlMDAtYzVhNC00Nzg0LWI2YjQtOWM1ZGEwZjg2Nzc5XkEyXkFqcGdeQXVyNTE0ODk4Nw@@._V1_QL75_UY281_CR18,0,190,281_.jpg",,Horror,4.4,138,United States,Donald Farmer,Donald Farmer,"Ghetty Chasun, Michelle Bauer, Danny Fendley, Jasmine Pona, Mandy Leigh, Julianna Masterson, Amanda Madison, Bill Randolph, Matthew Adams, Leslie Q, Sheri Ranson, Kitten Natividad, Janine A. Cawley, Lorissa McComas, George Stover, Christopher M. Harris, Donald Farmer, Natalie C. White",A doctor injects Caroline with a serum that gives her a need for blood.,,
,,,,"https://m.media-amazon.com/images/M/MV5BMWExY2Q3NWMtYjc0Ny00ZmRhLThjMTMtOTUzNjY5ZWNhZGIyL2ltYWdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UY281_CR0,0,190,281_.jpg",,"Comedy, Horror, Sci-Fi",3.0,255,United States,Ted A. Bohus,Ted A. Bohus,"Leon Head, Michelle Bauer, Theresa Lynn, J.J. North, Leslie Glass, Charlie Callas, John Knox, Joe Pallister, Eric Marshall, Alan Harris, Bop Tweedie, Louise Freistadt, Vincent Di Gaetano, Danny Provenzano, Andrew Rose, Christopher Bailey, Michael Zally, Kevin G. Shinnick","Three Venusians land on Earth and transform themselves into beautiful buxom babes, then go about their task of sucking the life force out of unsuspecting males. Their disguises are a propos since the life force is more valuable when extracted at a moment of extreme sexual excitem... Read all",,
,1995,,,"https://m.media-amazon.com/images/M/MV5BMzYzN2RkN2UtNzI1Yy00NmMzLTgwM2EtZDFiN2IyOGRlZDlkXkEyXkFqcGdeQXVyNDg5Mzk5Mg@@._V1_QL75_UY281_CR11,0,190,281_.jpg",,"Drama, History, War",8.6,987,China,,,,"In an age of turmoil, heroes will rise. . . It is the end of the 2nd Century and China is in a state of turmoil. The land is divided by warlords and the country is facing famine, droughts, and invasion from bordering tribes. On top of the problems the country is facing, Zhang Jia... Read all",,
,,,,"https://m.media-amazon.com/images/M/MV5BMWE3YzFhZTAtOTNiMi00ODlhLTgyN2EtNzE2ZWZjYTBhN2Q5XkEyXkFqcGdeQXVyNzI4MDMyMTU@._V1_QL75_UY281_CR0,0,190,281_.jpg",,Drama,4.8,22,France,,,,"An anthology television series from the French third public television channel, which features drama or comedy productions of original teleplays or TV adaptations developed from existing pieces of writing (popular plays or novels).",,
,1996,,,"https://m.media-amazon.com/images/M/MV5BNWJmODU2ZjUtOTNhNy00MmNmLTk1NTItYmFmZjU2ODIyYTVmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,16,190,281_.jpg",,"Documentary, Horror",2.8,477,United States,John Alan Schwartz,,"Clyde Barrow, Michael Carr, Bonnie Parker, Ronald Reagan",The fifth entry in the Faces of Death series.,,
,1999,,,"https://m.media-amazon.com/images/M/MV5BMTg2NjgzMTAtNGMyMS00ZWQwLWI1ZWQtODg2NjQyZTU4MzE4XkEyXkFqcGdeQXVyMTk5MjAyMjM@._V1_QL75_UY281_CR11,0,190,281_.jpg",,Drama,3.6,145,United States,Rob Spera,"Michael E. Jordan, Rob Spera","Meilani Paul, Jay Huguley, Vincent Dale, Taylor Leigh, Dani Thompson, Rod Roeser, Pía Reyes, Jennifer Burton, Jenna Lynn Minardi, Shari Eckert, R.J. Waye, Jeffery Thomas Johnson, Martin Chow, Jack Kyle, Michael Kayem, J.J. Mantia, Dominique Simone","Deandra Jensen is a photographer who cannot seem to find commercial success. When financial problems force her to take a job with an escort service, she gains the experience needed to make the critics happy.",,
,,,,"https://m.media-amazon.com/images/M/MV5BYjRjZDNjOWQtNmZlMi00OTEyLThkN2QtYTBhYjhiYTAzNzU5XkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_QL75_UY281_CR3,0,190,281_.jpg",,Drama,6.9,88,India,Bharathiraja,"Bharathiraja, Seeman","Shivaji Ganesan, Prabhu, Sivakumar, Radhika Sarathkumar, Saranya Ponvannan, Ponvannan, Vignesh, Vadivelu, Ilavarasu, Yuvarani, Dubbing Janaki, Theni Kunjaramma, Shenbaga, Periya Karuppu Thevar","For several years, Thangapandi (Prabhu) is in feud with his stepbrothers (Ponvannan and Vignesh). In the past, Durairasuthevar (Sivaji Ganesan), the village chief, planned the marriage of his daughter (Raadhika Sarathkumar) and she got married with a rich man. Few days later, aft... Read all",,
,,,,"https://m.media-amazon.com/images/M/MV5BOWNkZGQyZTgtNzZkYy00NjNlLWEzYjUtMTU3M2IwMDQwNzUyXkEyXkFqcGdeQXVyMTk5MjAyMjM@._V1_QL75_UY281_CR11,0,190,281_.jpg",,"Crime, Drama",3.5,463,United States,Henri Charr,"Henri Charr, Jess Mancilla, Robert Newcastle","Annie Wood, Gail Thackray, Jenna Bodnar, Dean Howell, Sherwin Ace Ross, Jamie Donahue, Dominique Konold, Christi Engel, Anita Linn, Red Horton, Brent Keast, David Jacobs, Beau Ritchards, Barbara Braverman, Tony Tamraz, Rachael Harris, Michelle Mirza, Jasae","A sympathetic detective helps reunited sisters (Annie Wood, Gail Harris) out of trouble as they avenge their mother's death.",,
,1996,,,"https://m.media-amazon.com/images/M/MV5BYTdiOTg0ZmMtNGE1NC00MGM4LTkxZGYtYzdiODRjNDE3MzIxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UY281_CR2,0,190,281_.jpg",,"Animation, Action, Adventure",5.8,1400,United States,,,,"After the events of the first Mortal Kombat movie and the third MK video game, the evil forces of Outworld begin their invasion of the Earthrealm and only Raiden and his Mortal Kombat champions stand in their way.",,
,,,,,,,,,Germany,Rainer Boldt,Christian Ohlig,"Udo Schenk, Janne Drücker, Roswitha Schreiner, Anuk Ens, Michael Greiling, Paul Frielinghaus, Rolf B. Wessels, Marina Krogull, Senta Bonneval, Elke Czischek, Renato Grünig, Maria Scholz",,,
,,,,"https://m.media-amazon.com/images/M/MV5BMjA0MTQ4NTMxMF5BMl5BanBnXkFtZTcwNzE3NTAyMQ@@._V1_QL75_UX190_CR0,4,190,281_.jpg",,"Comedy, Drama",4.0,180,United Kingdom,Valentine Palmer,"John Cleland, Valentine Palmer","Cheryl Dempsey, James Highton, Melanie Shepherd, Gunter Würger, Sidonie Bond, Valentine Palmer, Christine Furness, Keith Drinkel, Mary Hudson, Reg Beecham, Maurit Gustavsson, Oliver Godfrey, Claire Margarson, Jon Donelan, Angelique Kim, Nic Howard, Dave Stubbs","Orphaned at a young age, naive Fanny Hill moves to London to make her fortune but is soon lured into the seedy world of prostitution in the bawdy houses of the city.",,
,,,,"https://m.media-amazon.com/images/M/MV5BZjJkNTIyZDQtOTQ0YS00YzhjLThkMGUtZTY5MDBiMWVlMWM2XkEyXkFqcGdeQXVyMTk5MjAyMjM@._V1_QL75_UY281_CR11,0,190,281_.jpg",,Drama,5.7,62,United States,Deborah Shames,Udana Power,"Gwen Somers, Dihlon McManne, Belinda Farrell, Eric Barnes, Deborah Shames, Ele Beck, John Conway, Tracy Miller, Stephen Podesta, Elizabeth West, Lenore Andriel","A jaded, but successful attorney attends a charity bachelor auction and 'makes a statement' about men by paying top dollar for a date with a pet dog.",,
,1995,,,"https://m.media-amazon.com/images/M/MV5BNDJmNWU3MzUtYTY2YS00ODRkLWFmYTQtMWM4MDBkZWFkNWViXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_QL75_UX190_CR0,0,190,281_.jpg",,"Animation, Family",7.9,143,Ireland,,,,This is an animated Christian series. It tells the story of a family helping each other and others who are being persecuted because of their new found faith. The series follows this family of 'Story-Tellers' or Story-Keepers who base their stories on the teachings of Jesus Christ... Read all,,
,,,,"https://m.media-amazon.com/images/M/MV5BOTg3MjE2MDgwOF5BMl5BanBnXkFtZTcwMTg3MTk0MQ@@._V1_QL75_UY281_CR6,0,190,281_.jpg",,Romance,3.9,124,United States,Kevin Alber,,"David Armstrong, Erin Ashley, Roneique Banks, Jennifer Behr, Daneen Boone, Chanda, Neil Delama, Timothy Di Pri, Robert Drake, William Anthony Gonzalez, Brett Hedlund, Gary Holland, Holly Hollywood, Erica Jade, Steve Kerouac, Meridith Lake, Kirtland Lesow, David Mandell","A young girl dreams of various erotic liasons, she is kidnapped and made to strip naked, detects dodgy goings on an express train and strips naked, goes to New Orleans and strips naked...",,
,1995,,,"https://m.media-amazon.com/images/M/MV5BODZhZDRlODUtYzRhYS00MDAwLWFkYTYtY2ZiN2M0Mzk1YTZlXkEyXkFqcGdeQXVyMTc3NjE0NTE@._V1_QL75_UX190_CR0,1,190,281_.jpg",,Documentary,8.5,29,United States,Christopher Rowley,"Allen Abel, Jane Armstrong","Tom Farnquist, Joseph MacInnis, Jack Champeau, John McCarthy, Ruth Hudson, Bernie Cooper, Jim Erickson, Jim Hobaugh, Doreen Cundy, Jim Wilson, Cedric Woodard, D.J. McMillian, Don Donarski Jr., Dianne Cunningham, Cheryl Rozman, Janice Armagost, Omer Ales, Al Fellowes","Shipwreck: The Mystery of the Edmund Fitzgerald reenacts the happenings prior to the mysterious disappearance and sinking of the lake freighter SS Edmund Fitzgerald, with both reenactments and diver's footage from dives to the wreckage.",,
,1996,,,"https://m.media-amazon.com/images/M/MV5BNTE3ODk0ODktYzdlYi00YWU5LWFiNTEtODJmZjFjNWViMDU1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_QL75_UY281_CR155,0,190,281_.jpg",,"Adventure, Drama, Fantasy",7.2,975,India,,,,A horror anthology series revolving around different ghost stories.,,
,,,,"https://m.media-amazon.com/images/M/MV5BZjNmYjliZDEtYjIyYS00OTVjLWFlMTYtMzFlZjNlODRhYjcwXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UY281_CR2,0,190,281_.jpg",,"Drama, Romance",4.6,237,United States,Danny Taylor,Eric Mandelbaum,"Jenna Bodnar, Robert L. Newman, Raelyn Saalman, Will Potter, Kathleen Scott, Kim Lombardi, Kimberly Blair, Tatiana Tiele, Nancy B. Goode, Erin C. McCollough, Stephen R. Hudis, Shandra Goben, Zak Daniels, Jeremy Cornell, ""Adrienne DAngelo"", Jeffrey M. Gibson, Sara Hemminger, Jeff Holter",A young woman named Jennifer is propositioned by an older woman to have sex with her husband for money.,,
,1995,,,"https://m.media-amazon.com/images/M/MV5BNDI2ZTVkYTgtMTY2OC00OTk5LTg2ZWEtMDIzMGUyNDYzY2E1XkEyXkFqcGdeQXVyNDk2ODMyOA@@._V1_QL75_UY281_CR156,0,190,281_.jpg",,"Comedy, Talk-Show",8.7,685,United States,Paul Abeyta,"Peter Kaikko, Timothy Stack","Timothy Stack, Robert Alan Beuth, Lynne Marie Stewart, Peter Siragusa, Tim Silva, John Paragon, Vinny Montello, Shirley Prestia, Christopher Darga, Jennifer Lyons, Colleen Tate, Christopher Christian, Andrew Prine, Marvin Braverman, Tina New, Jerry Springer, Mathea Webb, Ashley Borden","Of all the talk shows, there's only one show that doesn't hesitate to take up such serious issues as teenage prostitution, aliens from outer space or breast implants in the Dick Dietrick style.",,
,,,,"https://m.media-amazon.com/images/M/MV5BMTI1MzAwNjA4NV5BMl5BanBnXkFtZTcwMTg1NDM0MQ@@._V1_QL75_UY281_CR271,0,190,281_.jpg",,Talk-Show,6.3,71,United States,Jim English,,"Jesse Jane, Kirsten Price, Tiffany Granath, Juli Ashton, Miles Long, Van Stone, Julia Ann, Charmane Star, Timothy A. Bennett, Stoneberger Christina, Roxy Jezel, Margot Demeter, ""Nancy OBrien"", Lexington Steele, Brittney Skye, Cytherea, Missy Monroe, Jessica Jaymes",,,
,,,,"https://m.media-amazon.com/images/M/MV5BOWUwNGRiMGEtOTU5OC00MDJkLTg0NmMtNTc4NjgzZTE4ZTg0XkEyXkFqcGdeQXVyMTk5MjAyMjM@._V1_QL75_UY281_CR11,0,190,281_.jpg",,Drama,4.9,97,United States,Ralph E. Portillo,Jalee Bailey,"Ashlie Rhey, Tamara Landry, Jon Hillard, Doria Rone, Dan Frank, Lynn Wolf, Clay Randall, Joseph Burns, J.J. Gales, Thomas Campbell, Mark Long, Barbara Pappas, Daniel Forrer, Jennifer DeLuca, Frank Rizzo, Laurita Del Mar, Kelly B. Tate, Judy Tarinies","A modeling agency provides the perfect setting for many romantic skirmishes between a brother and sister who share its inheritance. At first the two despise each other, but soon, the fine line between love and hate is about to be crossed.",,
,1995,,,"https://m.media-amazon.com/images/M/MV5BYjk2ZmVjMmMtYjE4ZC00ZjNhLTk5MDctNjJmZTNhMDkzZjU4XkEyXkFqcGdeQXVyMDYxMDYyOA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",,Horror,5.6,12,Indonesia,Pitradjaya Burnama,Aramantono,"Lela Anggraini, Sonny Dewantara, Welda Hidayat, Lidya Larengkeng, Sally Marcellina, Piet Pagau, Deisy Ayunita Pakasi, Robby Sutara","A scorned pregnant woman gets decapitated during a black magic battle with her ex-boyfriend, Andre. Her spirit then possesses the body of Andre's new girlfriend, turning her into a blood-sucking seductress.",,
