Name,Release Year,Certificate,Duration,Poster,Trailer,Genre,Rating,Rating Count,Country,Director,Writer,Stars,Story,Budget,Gross US & Canada,Opening weekend US & Canada,Gross worldwide
Interstellar,2014,C13,169,https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,https://www.imdb.com/video/vi1586278169/,"['Adventure', 'Drama', 'Sci-Fi']",8.7,2016268,"['United States', 'United Kingdom', 'Canada']",['Christopher Nolan'],"['Jonathan Nolan', 'Christopher Nolan']","['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain']","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","$165,000,000 (estimated)","$188,020,017","$47,510,360","$729,059,232"
Pariyerum Perumal,2018,Not Rated,154,https://m.media-amazon.com/images/M/MV5BMGYyOTdhMWEtMjdkNi00ZWJhLTkwYTUtODI0M2E4NjIzMTkyXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,https://www.imdb.com/video/vi3544235033/,['Drama'],8.7,17556,['India'],['Mari Selvaraj'],['Mari Selvaraj'],"['Kathir', 'Anandhi', 'Yogi Babu']","A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.",,,,
Scream for Me Sarajevo,2018,,95,https://m.media-amazon.com/images/M/MV5BYThhM2I2NDgtMGQ2MS00NTYxLTkzNDMtNWY4YWMwNDJkMWZmL2ltYWdlXkEyXkFqcGdeQXVyMjQ2NzY5NjM@._V1_.jpg,https://www.imdb.com/video/vi2256320025/,"['Documentary', 'Music', 'War']",8.7,1326,['Bosnia and Herzegovina'],['Tarik Hodzic'],"['Tarik Hodzic', 'Jasenko Pasic']","['Bruce Dickinson', 'Alen Ajanovic', 'Esad Bratovic']","In 1994 Sarajevo began a descent into chaos. Amongst the madness, 2 UN personnel: decided it would be fun to persuade a rock star (Bruce Dickinson of Iron Maiden) to come and play a gig to the population. Scream for Me Sarajevo te...",,,,"$5,035"
"Sarkari. Hi. Pra. Shale Kasaragodu, Koduge: Ramanna Rai",2018,,147,https://m.media-amazon.com/images/M/MV5BMzYzYjU5MzAtYTQ4NS00NmRmLWI3MzYtNzM2M2EwZjEyNTcxXkEyXkFqcGdeQXVyODE5NjYxMzQ@._V1_.jpg,https://www.imdb.com/video/vi793688857/,['Drama'],8.7,2859,['India'],['Rishab Shetty'],"['Abhijit Mahesh', 'Raj B. Shetty', 'Rishab Shetty']","['Anant Nag', 'Ramesh Bhat', 'Mahendra']",The happy and mischief-filled lives of the children of a Kannada medium school in Kerala are brought to a halt when the government decided to close the school.,,,,"$54,213"
Peranbu,2019,Not Rated,147,https://m.media-amazon.com/images/M/MV5BYWQ3NzA5MTQtYTBmYy00N2FkLTgzY2YtNGFkY2FjZTI4Njc3XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,https://www.imdb.com/video/vi3503209241/,"['Drama', 'Family']",8.7,15619,['India'],['Ram'],['Ram'],"['Mammootty', 'Sadhana', 'Anjali']","A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality.","₹70,000,000 (estimated)",,,"$3,417"
Godhi Banna Sadharana Mykattu,2016,,144,https://m.media-amazon.com/images/M/MV5BM2ZiODA3ZjEtNWRjMC00NTc3LWEzYzYtNGNmZDUxMTIxMWVhXkEyXkFqcGdeQXVyMzU0ODc1MTQ@._V1_.jpg,https://www.imdb.com/video/vi1030142233/,"['Drama', 'Thriller']",8.6,3578,['India'],['Hemanth M. Rao'],"['Hemanth Kumar Lakshmaiah', 'Hemanth M. Rao']","['Anant Nag', 'Rakshit Shetty', 'Sruthi Hariharan']","The film is about Venkob Rao (Anant Nag), a middle class simpleton ailing with Alzheimer&apos;s, who goes missing. His son, Shiva (Rakshit Shetty) is a career driven person, who is forced to pause his hectic life to search for his fath...","₹25,000,000 (estimated)",,,
Human,2015,Not Rated,263,https://m.media-amazon.com/images/M/MV5BNGU3ZDA4ODMtNTY0NC00ODgzLWE0NDktYTVjMTljODNjMmQ3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,https://www.imdb.com/video/vi2711007769/,['Documentary'],8.6,8702,['France'],['Yann Arthus-Bertrand'],[],"['Luis Cancu', 'Atman', 'Berthony']","A collection of stories about and images of our world, offering an immersion to the core of what it means to be human.",,,,"$80,410"
Pashupati Prasad,2016,,140,https://m.media-amazon.com/images/M/MV5BZjg4NjVhNWQtMjdlMC00ZGE4LWE1ZDUtYzdiMzE0ZTg1YzllXkEyXkFqcGdeQXVyNjY5NTY0NjM@._V1_.jpg,https://www.imdb.com/video/vi1909700889/,"['Comedy', 'Drama', 'Romance']",8.6,1697,['Nepal'],['Dipendra K. Khanal'],['Khagendra Lamichhane'],"['Khagendra Lamichhane', 'Rabindra Singh Baniya', 'Bipin Karki']",When a man named Pashuati comes to Kathmandu to pay his father loans while in Kathmandu he discovers Pashupatinath where he fights the danger of Kathmandu.,"NPR 9,000,000 (estimated)",,,
Dr. Prakash Baba Amte - The Real Hero,2014,,119,https://m.media-amazon.com/images/M/MV5BOTUyYjU3NDQtMzE5ZC00ZmY2LTg2NTctZTE3NjgyYzQ1NDAxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg,https://www.imdb.com/video/vi4131175961/,"['Biography', 'Drama', 'History']",8.6,1270,['India'],['Samruoddhi Porey'],"['Samruoddhi Porey', 'Guru Thakur']","['Nana Patekar', 'Sonali Kulkarni', 'Mohan Agashe']","Biopic on Dr. Prakash Amte, the selfless doctor and social worker who devoted his life towards the development and upliftment of the tribal people in the forests of western Maharashtra.",,,,
Chal Man Jeetva Jaiye,2017,,123,https://m.media-amazon.com/images/M/MV5BZGU4YTIwYWQtMmI5MS00NWFlLTkxMWUtNzY1NzlmYWUyOWQ4XkEyXkFqcGdeQXVyODgwMzEzMzk@._V1_.jpg,https://www.imdb.com/video/vi447987225/,['Drama'],8.6,1079,['India'],['Dipesh Harshad Shah'],['Dipesh Harshad Shah'],"['Karan Bhanushali', 'Krishna Bharadwaj', 'Samir Chandra']","Chal Man Jeetva Jaiye recounts the riveting saga of a business family which finds itself at the crossroads, where one wrong decision could end up costing them everything.",,,,"$11,682"
Something to Do with Death,2018,,85,https://m.media-amazon.com/images/M/MV5BM2Y4ZjdmMDItMmMxZS00N2I5LWI5M2UtNjliZmFkZjExOGE5XkEyXkFqcGdeQXVyMjEwMzQyNDM@._V1_.jpg,,['Drama'],8.6,1080,['Australia'],"['Bramwell Noah', 'Dan Noah']",['Bramwell Noah'],"['Kain Baigent', 'Dee Beat', 'Ayrton Burridge']",One bullet can do a lot of damage.,,,,
National Theatre Live: Hamlet,2015,,217,https://m.media-amazon.com/images/M/MV5BOTNlOTc4NjYtODVmNy00ZTAzLWJjYjUtNzJlYzkzZjgyMDA2XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_.jpg,https://www.imdb.com/video/vi893305625/,['Drama'],8.5,2331,['United Kingdom'],"['Lyndsey Turner', 'Robin Lough']",['William Shakespeare'],"['Benedict Cumberbatch', 'Ciarán Hinds', 'Sian Brooke']","Hamlet, Prince of Denmark, finds out that his Uncle Claudius killed his father to obtain the throne, and plans his revenge.",,"$449,807",,"$5,298,933"
Visaranai,2016,Not Rated,117,https://m.media-amazon.com/images/M/MV5BNjI2Y2Q5ZGEtOGUzZS00NjY3LWE0N2UtZGQzNmFlZjFkYjA3XkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_.jpg,https://www.imdb.com/video/vi393394201/,"['Crime', 'Drama', 'Thriller']",8.5,11719,['India'],['Vetrimaaran'],"['Chandrakumar', 'Vetrimaaran']","['Dinesh', 'Samuthirakani', 'Anandhi']",Four labourers are tortured by the police to confess to a theft they have not committed.,,,,"$1,943"
Be Here Now,2017,,100,https://m.media-amazon.com/images/M/MV5BNzQyODM5MTU2NF5BMl5BanBnXkFtZTgwMDgyMTUxODE@._V1_.jpg,https://www.imdb.com/video/vi1513403673/,"['Documentary', 'Biography', 'Drama']",8.5,3522,"['United States', 'Australia']",['Lilibet Foster'],[],"['Jai Courtney', 'Andy Whitfield', 'Indigo Whitfield']","As though life is imitating art, actor and sex-symbol, Andy Whitfield, had just become a star as the lead in the hit television series,&apos;Spartacus,&apos; when he is faced with his biggest personal challenge - life-threatening cancer. &apos;B...",,"$22,424","$13,577","$22,424"
Roger Waters: The Wall,2015,R,132,https://m.media-amazon.com/images/M/MV5BMjM5OTM5MTk2OF5BMl5BanBnXkFtZTgwMzEzMjM3NjE@._V1_.jpg,https://www.imdb.com/video/vi1388032537/,"['Documentary', 'Music']",8.5,5288,['United Kingdom'],"['Sean Evans', 'Roger Waters']","['Sean Evans', 'Roger Waters']","['Roger Waters', 'Dave Kilminster', 'Snowy White']",Details one of the most elaborately staged theatrical productions in music history as Pink Floyd frontman Roger Waters performs the band&apos;s critically acclaimed album The Wall in its entirety.,,,,"$2,214,417"
Sachin,2017,,138,https://m.media-amazon.com/images/M/MV5BZmY2M2I5ZGMtNWZjYy00MmI5LWI1NjgtMTY5NTY5NDFhZGRiXkEyXkFqcGdeQXVyNjc5MTcwMjQ@._V1_.jpg,https://www.imdb.com/video/vi562477081/,"['Documentary', 'Sport']",8.5,8295,['India'],['James Erskine'],"['Siva Ananth', 'James Erskine', 'Sandeep Shrivastava']","['Sachin Tendulkar', 'Mikail Gandhi', 'Anjali Tendulkar']",A tale of a small boy with dreams and his journey to becoming the God of Cricket and the most celebrated sportsperson in his country.,,,,"$288,557"
Merku Thodarchi Malai,2018,,122,https://m.media-amazon.com/images/M/MV5BZmIwNmEwZGEtYjgxYi00ZTMwLTkwYWUtYWEwMzg0MWU3MmFmXkEyXkFqcGdeQXVyODUzMzA4MDI@._V1_.jpg,https://www.imdb.com/video/vi1984412441/,['Drama'],8.5,1912,['India'],['Leninbharati'],[],"['Antony', 'Aaru Bala', 'Gayatri Krishnaa']","Rangasamy, a laborer living on the borders of Kerala and Tamil Nadu just like his fellow sons of soils toils, hard-working at the spice plantations owned by landlords. Whilst Rangasamy is content with his life, he yearns to own a ...",,,,
Belaseshe,2015,,141,https://m.media-amazon.com/images/M/MV5BYzRlNGYwOTUtYzYxNi00ZDQ5LTllYmEtZDIxYjU4Y2RmMzRiXkEyXkFqcGdeQXVyNjA3OTI5MjA@._V1_.jpg,https://www.imdb.com/video/vi3901865497/,"['Drama', 'Family']",8.5,2885,['India'],"['Shiboprosad Mukherjee', 'Nandita Roy', 'Jyoti Hazra']","['Shiboprosad Mukherjee', 'Nandita Roy']","['Soumitra Chatterjee', 'Swatilekha Sengupta', 'Rituparna Sengupta']","A story of relationships that explores the intricacies of the married life, of life-long companionship, of promises and expectations and love.","$500,000 (estimated)",,,
Angrej,2015,Not Rated,130,https://m.media-amazon.com/images/M/MV5BY2Q5NjlmODUtYjkzOS00NjY3LThjNGQtY2YzYTdjYjRmNzAzXkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_.jpg,https://www.imdb.com/video/vi2083634969/,['Romance'],8.5,3589,['India'],['Simerjit Singh'],['Amberdeep Singh'],"['Amrinder Gill', 'Sargun Mehta', 'Aditi Sharma']",A thoughtful young man struggles to find a woman to marry.,"₹40,000,000 (estimated)",,,"$545,546"
An Insignificant Man,2017,,96,https://m.media-amazon.com/images/M/MV5BYmRlOWRhMjEtN2QwYi00NmIxLWE3MDctMDg5OWZkMWE3ODNmXkEyXkFqcGdeQXVyNzgzMjQzMDM@._V1_.jpg,https://www.imdb.com/video/vi3108486937/,"['Documentary', 'Thriller']",8.5,2229,['India'],"['Khushboo Ranka', 'Vinay Shukla']","['Khushboo Ranka', 'Vinay Shukla']","['Arvind Kejriwal', 'Saurabh Bhardwaj', 'Prashant Bhushan']","A non-fiction drama chronicling the most outrageous political debut in the largest democracy in the world, &quot;An Insignificant Man&quot; follows Arvind Kejriwal and his insurgent party as they look to shake up Indian politics while strug...",,,,
Bey Yaar,2014,,150,https://m.media-amazon.com/images/M/MV5BMzU1NzY0M2MtMjRiMS00NTNiLTgxZTgtOTVmNjE2N2VhMTY5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,https://www.imdb.com/video/vi4019306009/,"['Comedy', 'Drama', 'Family']",8.5,2056,['India'],['Abhishek Jain'],"['Niren Bhatt', 'Bhavesh Mandalia']","['Darshan Jariwala', 'Manoj Joshi', 'Aarti Patel']","In the desperation to earn quick money, two best friends put their moral values at stake and end up losing their pride and dignity. They then choose a wrong path to set things right and snatch back what was rightfully theirs.","₹20,000,000 (estimated)",,,
Fade to Black,2017,,81,https://m.media-amazon.com/images/M/MV5BMWZiNjllMTktYjVkYy00YTYyLTllYzYtOTM4NWU3NjU1NTVhXkEyXkFqcGdeQXVyMjgxODgwNzQ@._V1_.jpg,,['Documentary'],8.5,1634,"['Australia', 'Netherlands']",['Jeremy Ervine'],"['David Campbell', 'Jeremy Ervine']","['Peter Short', 'Rodney Syme', 'Richard Di Natale']","Peter Short, the charismatic CEO of a major Australian company, learns that he has only months to live after he is diagnosed with terminal oesophageal cancer. Not wanting to face a painful death, Peter decides to source the lethal...",,,,
Saving Mes Aynak,2015,Not Rated,60,https://m.media-amazon.com/images/M/MV5BMjI2ODkwMTY4OF5BMl5BanBnXkFtZTgwMjgzNjM4MzE@._V1_.jpg,https://www.imdb.com/video/vi229553689/,['Documentary'],8.5,1039,['United States'],['Brent E. Huffman'],['Brent E. Huffman'],['Qadir Temori'],"Saving Mes Aynak follows Afghan archaeologist Qadir Temori as he races against time to save a 5,000-year-old archaeological site in Afghanistan from imminent demolition. A Chinese state-owned mining company is closing in on the an...","$225,000 (estimated)",,,
Avengers: Infinity War,2018,C16,149,https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_.jpg,https://www.imdb.com/video/vi528070681/,"['Action', 'Adventure', 'Sci-Fi']",8.4,1168114,['United States'],"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely', 'Stan Lee']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"$321,000,000 (estimated)","$678,815,482","$257,698,183","$2,052,415,039"
Coco,2017,P,105,https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_.jpg,https://www.imdb.com/video/vi4249729305/,"['Animation', 'Adventure', 'Drama']",8.4,565473,"['United States', 'Mexico']","['Lee Unkrich', 'Adrian Molina']","['Lee Unkrich', 'Jason Katz', 'Matthew Aldrich']","['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt']","Aspiring musician Miguel, confronted with his family&apos;s ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","$175,000,000 (estimated)","$210,460,015","$50,802,605","$814,337,054"
Kimi no na wa.,2017,C16,106,https://m.media-amazon.com/images/M/MV5BODRmZDVmNzUtZDA4ZC00NjhkLWI2M2UtN2M0ZDIzNDcxYThjL2ltYWdlXkEyXkFqcGdeQXVyNTk0MzMzODA@._V1_.jpg,https://www.imdb.com/video/vi1705097753/,"['Animation', 'Drama', 'Fantasy']",8.4,304348,['Japan'],['Makoto Shinkai'],"['Makoto Shinkai', 'Clark Cheng']","['Ryunosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita']","Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.","¥370,000,000 (estimated)","$5,017,246","$1,813,781","$382,238,181"
Capharnaüm,2018,R,126,https://m.media-amazon.com/images/M/MV5BMmExNzU2ZWMtYzUwYi00YmM2LTkxZTQtNmVhNjY0NTMyMWI2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,https://www.imdb.com/video/vi1667873305/,['Drama'],8.4,100886,"['Lebanon', 'United States', 'France', 'Cyprus', 'Qatar', 'United Kingdom']",['Nadine Labaki'],"['Nadine Labaki', 'Jihad Hojeily', 'Michelle Keserwany']","['Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole']","While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.","$4,000,000 (estimated)","$1,661,096","$24,988","$64,417,003"
The Salt of the Earth,2014,PG-13,110,https://m.media-amazon.com/images/M/MV5BNjkyNjI3ODc0Ml5BMl5BanBnXkFtZTgwMTU0MjM2NDE@._V1_.jpg,https://www.imdb.com/video/vi1873919257/,"['Documentary', 'Biography', 'History']",8.4,22927,"['France', 'Italy', 'Brazil']","['Juliano Ribeiro Salgado', 'Wim Wenders']","['Wim Wenders', 'Juliano Ribeiro Salgado', 'David Rosier']","['Sebastião Salgado', 'Wim Wenders', 'Lélia Wanick Salgado']","The life and work of photographer Sebastião Salgado, who has spent forty years documenting societies in hidden corners of the world.",,"$1,343,349","$44,900","$5,412,466"
Mahanati,2018,Not Rated,177,https://m.media-amazon.com/images/M/MV5BMmNkN2ZkODgtZTU1Zi00MDg3LWE1MGQtM2ZmY2Y3ODcwZmE5XkEyXkFqcGdeQXVyNTgxODY5ODI@._V1_.jpg,https://www.imdb.com/video/vi124106777/,"['Biography', 'Drama']",8.4,13984,['India'],['Nag Ashwin'],"['Nag Ashwin', 'Sai Madhav Burra', 'Padmavathi Visweswar']","['Keerthy Suresh', 'Dulquer Salmaan', 'Samantha Ruth Prabhu']","Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s.","$3,650,000 (estimated)",,,"$279,078"
Billy Elliot: The Musical Live,2014,R,169,https://m.media-amazon.com/images/M/MV5BOTUxMDhkNTEtOWEyOC00YzY2LTlkZmQtMjQ4OTY5NThhZDU2XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_.jpg,https://www.imdb.com/video/vi1022018329/,"['Comedy', 'Drama', 'Musical']",8.4,1938,['United Kingdom'],"['Stephen Daldry', 'Brett Sullivan']",['Lee Hall'],"['Elliott Hanna', 'Ollie Jochim', 'Bradley Perret']",A talented young dancer has to learn to fight for his dream despite social and parental disapproval.,,,,"$3,413,368"
Gekijôban Shingeki no Kyojin Season 2: Kakusei no hôkô,2018,,120,https://m.media-amazon.com/images/M/MV5BY2ZkZmFiOGQtYTAyYS00MjhkLTg3NzAtYTljMGNhOTBjMWJmXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,https://www.imdb.com/video/vi2233844505/,"['Animation', 'Action', 'Fantasy']",8.4,5989,['Japan'],['Masashi Koizuka'],"['Hajime Isayama', 'Yasuko Kobayashi']","['Yûki Kaji', 'Yui Ishikawa', 'Marina Inoue']","Eren Yeager and others of the 104th Training Corps have just become full members of the Survey Corps. As they ready themselves to face the Titans once again, their preparations are interrupted by the invasion of Wall Rose.",,,,"$107,155"
Thani Oruvan,2015,Not Rated,160,https://m.media-amazon.com/images/M/MV5BYTc0ODgyODMtYTU3OS00NDcxLWI3YmYtZGVjMWQxOGI2ODZiXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,https://www.imdb.com/video/vi369604633/,"['Action', 'Crime', 'Thriller']",8.4,21201,['India'],['Mohan Raja'],"['Mohan Raja', 'D. Suresh', 'A.N. Balakrishnan']","['Jayam Ravi', 'Arvind Swami', 'Nayanthara']","Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him.","₹200,000,000 (estimated)",,,
Papanasam,2015,Not Rated,179,https://m.media-amazon.com/images/M/MV5BZjAzYzIwYzAtNmRiMC00ZmQ3LTgwMzAtODVhMDk3NTBmNWE4XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,https://www.imdb.com/video/vi2794043417/,"['Crime', 'Drama', 'Thriller']",8.4,8108,['India'],['Jeethu Joseph'],"['Jayamohan', 'Jeethu Joseph', 'Suka']","['Kamal Haasan', 'Gautami', 'Nivetha Thomas']",Desperate measures are taken by a man who tries to save his family from the dark side of the law after they commit an unexpected crime.,,,,"$586,973"
Aruvi,2017,Not Rated,130,https://m.media-amazon.com/images/M/MV5BZDM5N2FlNTctNTY3MS00OWNjLWFmOTAtYjJkMjU5NWIyNDVmXkEyXkFqcGdeQXVyMTA3MzQ4MTc0._V1_.jpg,https://www.imdb.com/video/vi2542975001/,['Drama'],8.4,13744,['India'],['Arun Prabhu Purushothaman'],['Arun Prabhu Purushothaman'],"['Aditi Balan', 'Padmashri Mohammad Ali', 'Pradeep Anthony']",A gentle girl born and brought up amidst the ever growing eco-social-consumeristic environment finds it difficult to fit in the society. She decides to take it hard on the people. What she does is the rest of the story.,"$400,000 (estimated)",,,
România neîmblânzitã,2018,,92,https://m.media-amazon.com/images/M/MV5BYjljMmJlZWYtYjU3MC00ZGJlLTkzZGUtZWY2ODk4NTIxNjY0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,https://www.imdb.com/video/vi3376135961/,['Documentary'],8.4,1909,"['Romania', 'United Kingdom']",['Tom Barton-Humphreys'],"['Tom Barton-Humphreys', 'Alex Paun']","['Victor Rebengiuc', 'Mark Strong']","In Romania, ancient forests and expansive wetlands provide habitats to some of Europe&apos;s most iconic creatures. Focusing on the Carpathian Mountains and the Danube Delta, this documentary is a celebration of nature, in all its beau...",,,,
